"Welcome to Frappe Books","Velkommen til Frappe Books",
"Create a new company or select an existing one from your computer","Opprett et nytt selskap eller velg et eksisterende fra datamaskinen",
"New Company","Nytt selskap",
"Create a new company and store it on your computer","Opprett et nytt selskap og lagre det på datamaskinen",
"Existing Company","Eksisterende selskap",
"Load an existing company from your computer","Åpne et eksisterende selskap fra datamaskinen",
"Create Demo","Opprett demo",
"Create a demo company to try out Frappe Books","Opprett et demoselskap for å prøve Frappe Books",
"Language","Språk",
"Set the display language.","Velg visningsspråk.",
"Setup Wizard","Oppsett",
"Company Logo","Selskapslogo",
"Company Name","Selskapsnavn",
"Full Name","Fullt navn",
"Email","E-post",
"Country","Land",
"Select Country","Velg land",
"Currency","Valuta",
"Bank Name","Banknavn",
"Chart of Accounts","Kontoplan",
"Select CoA","Velg kontoplan",
"Fiscal Year Start Date","Regnskapsårets startdato",
"Fiscal Year End Date","Regnskapsårets sluttdato",
"Accounting","Regnskap",
"Default","Standard",
"Set up your organization","Sett opp virksomheten",
"Organization Number","Organisasjonsnummer",
"Organization Form","Organisasjonsform",
"VAT Registered","Registrert i Merverdiavgiftsregisteret",
"Business Address","Forretningsadresse",
"Postal Code","Postnummer",
"City","Poststed",
"Norway","Norge",
"Norway - SME Chart of Accounts","Norge - kontoplan for små og mellomstore virksomheter",
"AS - Private Limited Company","AS - Aksjeselskap",
"ASA - Public Limited Company","ASA - Allmennaksjeselskap",
"ENK - Sole Proprietorship","ENK - Enkeltpersonforetak",
"ANS - General Partnership","ANS - Ansvarlig selskap",
"DA - Partnership with Shared Liability","DA - Selskap med delt ansvar",
"NUF - Norwegian Registered Foreign Company","NUF - Norskregistrert utenlandsk foretak",
"SA - Cooperative","SA - Samvirkeforetak",
"STI - Foundation","STI - Stiftelse",
"Other","Annen",

"Tax Code","MVA-kode"
"SAF-T Standard VAT Code","SAF-T standard MVA-kode"

"Norwegian VAT Summary","Norsk MVA-sammendrag"
"SAF-T VAT Code","SAF-T MVA-kode"
"System VAT Code","Systemets MVA-kode"
"VAT Basis","MVA-grunnlag"
"VAT Amount","MVA-beløp"


"Payment Due Date","Betalingsfrist"
"Delivery Date and Time","Leveringstidspunkt"
"Delivery Place","Leveringssted"
"Credit Note","Kreditnota"
"Credit Note For","Kreditnota for"

"Organization number is required before submitting a Norwegian sales invoice.","Organisasjonsnummer er påkrevd før en norsk salgsfaktura kan bokføres."
"Payment due date is required on Norwegian sales invoices.","Betalingsfrist er påkrevd på norske salgsfakturaer."
"Delivery date and time is required on Norwegian sales invoices.","Leveringstidspunkt er påkrevd på norske salgsfakturaer."
"Delivery place is required on Norwegian sales invoices.","Leveringssted er påkrevd på norske salgsfakturaer."
"Norwegian sales invoices require the customer to have an address or organization number.","Norske salgsfakturaer krever at kunden har adresse eller organisasjonsnummer."

"VAT in Company Currency","MVA i selskapsvaluta"
"Taxable Basis in Company Currency","Avgiftsgrunnlag i selskapsvaluta"

"Lock Accounting Through","Lås regnskap til og med"
"Accounting is locked through ${lockDate}. Transactions dated ${postingDate} cannot be posted or reversed in that period.","Regnskapet er låst til og med ${lockDate}. Transaksjoner datert ${postingDate} kan ikke bokføres eller reverseres i denne perioden."

"Cancellation Reason","Årsak til annullering"
"Explain why this posted document is being reversed","Forklar hvorfor det bokførte dokumentet blir reversert"
"Cancellation reason is required for Norwegian accounting records.","Årsak til annullering er påkrevd for norske regnskapsbilag."

"Corrects Invoice","Korrigerer faktura"
"Correction Reason","Korrigeringsårsak"
"Correction reason is required on Norwegian credit notes.","Korrigeringsårsak er påkrevd på norske kreditnotaer."

"Norwegian VAT Snapshot","Norsk MVA-øyeblikksbilde"
"Norwegian VAT mapping is required for tax template ${taxName}.","Norsk MVA-kobling er påkrevd for avgiftsmalen ${taxName}."
"Norwegian VAT tax template ${taxName} has no valid tax details.","Den norske MVA-malen ${taxName} har ingen gyldige avgiftsdetaljer."
"VAT mapping is missing for ${schemaName} ${name}, tax template ${taxItem.tax}.","MVA-kobling mangler for ${schemaName} ${name}, avgiftsmal ${taxItem.tax}."
"1000 - Development","1000 - Utvikling",""
"1020 - Long-term concessions, patents, licenses, rights, etc.","1020 - Varige konsesjoner, patenter, lisenser, rettigheter med mer",""
"1070 - Deferred tax asset","1070 - Utsatt skattefordel",""
"1080 - Goodwill","1080 - Goodwill",""
"1101 - Captalized exploration costs","1101 - Aktiverte letekostnader",""
"1102 - Fields under development","1102 - Felt under utbygging",""
"1103 - Production facility and pipeline","1103 - Produksjonsinnretning og rørledning",""
"1104 - Removal and shutdown assets","1104 - Fjernings- og nedstengningseiendeler",""
"1105 - Commercial estates","1105 - Forretningsbygg",""
"1115 - Buildings, installations, hotels, etc.","1115 - Bygg, anlegg, hotell o.l.",""
"1117 - Electrotechnical equipment in power enterprises, etc.","1117 - Elektroteknisk utrustning i kraftforetak mv.",""
"1120 - Fixed technical installations in buildings","1120 - Fast teknisk installasjon i bygninger",""
"1130 - Installations and machines under construction","1130 - Anlegg og maskiner under bygging",""
"1140 - Agricultural and forestry properties","1140 - Jord- og skogbrukseiendommer",""
"1150 - Plots and other land areas","1150 - Tomter og andre grunnarealer",""
"1160 - Housing incl. housing plots, cabins, etc.","1160 - Bolig inkl. boligtomter, hytter mv.",""
"1180 - Investment properties","1180 - Investeringseiendommer",""
"1205 - Cars, machinery and fixtures and fittings","1205 - Personbiler, maskiner, inventar",""
"1221 - Ships, rigs, etc.","1221 - Skip, rigger mv.",""
"1225 - Aircrafts, helicopters, etc.","1225 - Fly, helikopter mv.",""
"1238 - Vans and trucks, buses, etc., and vans with zero emissions","1238 - Vare- og lastebiler, busser, inkludert varebiler med nullutslipp mv.",""
"1280 - Office equipment, etc.","1280 - Kontormaskiner o.l.",""
"1290 - Other fixed assets","1290 - Andre driftsmidler",""
"1295 - Fixed assets depreciated on a straight-line basis","1295 - Driftsmidler som avskrives lineært",""
"1296 - Negative profit and loss account","1296 - Negativ gevinst- og tapskonto",""
"1298 - Negative timber account","1298 - Negativ tømmerkonto",""
"1299 - Negative agriculture account","1299 - Negativ jordbrukskonto",""
"1312 - Investments in subsidiaries and companies in a group assessed as a partnership","1312 - Investeringer i datter- og konsernselskap med deltakerfastsetting",""
"1313 - Investments in other subsidiaries and companies in a group","1313 - Investeringer i andre datter- og konsernselskap",""
"1320 - Loans to enterprises within the same group","1320 - Lån til foretak i samme konsern",""
"1331 - Investments in associated companies assessed as a partnership","1331 - Investeringer i tilknyttede selskap med deltakerfastsetting",""
"1332 - Investments in other associated companies","1332 - Investeringer i andre tilknyttede selskap",""
"1340 - Loans to associated companies and jointly controlled enterprises","1340 - Lån til tilknyttet selskap og felles kontrollert virksomhet",""
"1350 - Investments in shares, holdings and units in securities funds","1350 - Investeringer i aksjer, andeler og verdipapirfondsandeler",""
"1360 - Bonds","1360 - Obligasjoner",""
"1370 - Receivables from personal owners, board members, etc.","1370 - Fordringer på personlige eiere, styremedl. o.l.",""
"1380 - Claims towards/receivables from employees","1380 - Krav/fordringer mot ansatte",""
"1390 - Other non-current receivables","1390 - Andre langsiktige fordringer",""
"1395 - Net pension funds","1395 - Netto pensjonsmidler",""
"1400 - Inventory","1400 - Varelager",""
"1401 - Stock of self-manufactured goods for use in own agricultural activity","1401 - Beholdning av egenproduserte varer for bruk i egen jordbruksvirksomhet",""
"1470 - Reduced withdrawal of petroleum products","1470 - Mindreuttak av petroleumsprodukter",""
"1490 - Biological assets","1490 - Biologiske eiendeler",""
"1500 - Accounts receivable","1500 - Kundefordringer",""
"1501 - Trade debtors relating to companies in the same group","1501 - Kundefordringer på selskap i samme konsern",""
"1530 - Earned, non-invoiced operating revenues","1530 - Opptjente ikke fakturerte driftsinntekter",""
"1560 - Other receivables from companies in the same group","1560 - Andre fordringer på selskap i samme konsern",""
"1565 - Current receivables concerning personal owners/board members, etc.","1565 - Kortsiktige fordringer mot personlig eier, styremedlem o.l.",""
"1570 - Other current claims/receivables","1570 - Andre kortsiktige krav/fordringer",""
"1780 - Claims for paid-up company capital","1780 - Krav på innbetalt selskapskapital",""
"1800 - Non-market based shares and units in securities funds","1800 - Ikke-markedsbaserte aksjer og verdipapirfondsandeler",""
"1810 - Market-based shares and units in securities funds","1810 - Markedsbaserte aksjer og verdipapirfondsandeler",""
"1830 - Market-based bonds, certificates, etc.","1830 - Markedsbaserte obligasjoner, sertifikater mv.",""
"1840 - Other bonds and certificates","1840 - Andre obligasjoner og sertifikater",""
"1880 - Other financial instruments","1880 - Andre finansielle instrumenter",""
"1895 - Ownership interest in a business assessed as a partnership","1895 - Andel i selskap med deltakerfastsetting",""
"1900 - Cash","1900 - Kontanter",""
"1920 - Bank deposits","1920 - Bankinnskudd",""
"1950 - Deposits on a tax deduction account","1950 - Innskudd på skattetrekkskonto",""
"2100 - Pension liabilities","2100 - Pensjonsforpliktelser",""
"2120 - Deferred tax","2120 - Utsatt skatt",""
"2130 - Derivatives","2130 - Derivater",""
"2160 - Unearned income","2160 - Uopptjent inntekt",""
